Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km
2000,Rohtas,466.0,0.0,234.0,1717.0,355.0,10.0,460345.0,2959918.0,1543546.0,1416372.0,3881.0,763.0,186.0,51.0,2.0,2.0,1.0,47.85173102768388,6.429782011317599,239.0,3.0,8.074548011127336,0.1013541591354895,52.14826897231613,763.0
2000,Saharsa,0.0,0.0,214.0,445.0,23.0,1.0,368979.0,1900661.0,997174.0,903487.0,1687.0,1127.0,152.0,42.0,0.0,1.0,1.0,47.535410049451215,5.15113597250792,194.0,2.0,10.206975362781684,0.1052265501317699,52.46458995054878,1127.0
2000,Samastipur,9.0,0.0,221.0,1129.0,117.0,7.0,835493.0,4261566.0,2230003.0,2031563.0,2904.0,1467.0,362.0,65.0,1.0,3.0,1.0,47.67174789736918,5.100660328692161,428.0,4.0,10.04325639917345,0.0938622093380696,52.32825210263081,1467.0
2000,Saran,21.0,0.0,219.0,1570.0,194.0,6.0,631097.0,3951862.0,2022821.0,1929041.0,2641.0,1496.0,413.0,63.0,3.0,1.0,1.0,48.8134707132992,6.261893179653841,479.0,2.0,12.120868593083465,0.0506090546684069,51.1865292867008,1496.0
2000,Sheikhpura,0.0,0.0,228.0,261.0,53.0,2.0,100701.0,636342.0,329743.0,306599.0,689.0,924.0,85.0,23.0,1.0,1.0,1.0,48.18148102749779,6.319122948133583,109.0,2.0,17.129153819801303,0.3142964003633267,51.81851897250221,924.0
2000,Sheohar,0.0,0.0,205.0,191.0,12.0,1.0,150144.0,656246.0,346673.0,309573.0,349.0,1880.0,29.0,12.0,1.0,1.0,1.0,47.17331610402197,4.370777387041773,42.0,2.0,6.400039009761583,0.3047637623695992,52.82668389597804,1880.0
2000,Sitamarhi,1.0,0.0,206.0,808.0,26.0,8.0,736322.0,3423574.0,1803252.0,1620322.0,2294.0,1492.0,212.0,54.0,2.0,0.0,1.0,47.32837671976712,4.6495609257906185,268.0,1.0,7.828076740856193,0.0292092415703589,52.67162328023288,1492.0
2000,Siwan,9.0,0.0,218.0,1435.0,95.0,3.0,535661.0,3330464.0,1675090.0,1655374.0,2219.0,1501.0,367.0,61.0,3.0,0.0,1.0,49.70400520768277,6.217484565798145,431.0,1.0,12.941139733082236,0.0300258462484506,50.29599479231722,1501.0
2000,Supaul,0.0,0.0,208.0,526.0,25.0,3.0,443073.0,2229076.0,1155283.0,1073793.0,2425.0,919.0,178.0,31.0,2.0,1.0,1.0,48.17211257041034,5.030945239272084,211.0,2.0,9.465805562484189,0.0897232754737837,51.82788742958966,919.0
2000,Vaishali,0.0,0.0,220.0,1422.0,147.0,3.0,626087.0,3495021.0,1844535.0,1650486.0,2036.0,1717.0,335.0,47.0,3.0,1.0,1.0,47.223922259694575,5.582324820671888,385.0,2.0,11.015670578231148,0.0572242627440579,52.77607774030543,1717.0
2000,Chandigarh,256.0,0.0,55.0,5.0,0.0,6.0,241173.0,1055450.0,580663.0,474787.0,114.0,9258.0,17.0,0.0,2.0,0.0,1.0,44.98431948458004,4.376319073859843,19.0,1.0,1.8001800180018002,0.0947463167369368,55.01568051541996,9258.0
2000,Bastar,37883.0,18.0,414.0,1128.0,22.0,6.0,311538.0,1413199.0,698487.0,714712.0,10470.0,135.0,405.0,58.0,11.0,0.0,0.0,50.57405220354671,4.536201041285493,474.0,0.0,33.54092381893845,0.0,49.42594779645329,135.0
2000,Bilaspur,14606.0,1.0,30.0,953.0,108.0,4.0,80485.0,381956.0,192764.0,189192.0,1167.0,327.0,381.0,79.0,10.0,0.0,1.0,49.532406874090206,4.745679319127788,470.0,1.0,123.05082260783963,0.2618102608677439,50.467593125909794,327.0
2000,Bilaspur,14606.0,1.0,30.0,953.0,108.0,4.0,80485.0,381956.0,192764.0,189192.0,1167.0,327.0,114.0,30.0,6.0,0.0,0.0,49.532406874090206,4.745679319127788,150.0,0.0,39.27153913016159,0.0,50.467593125909794,327.0
2000,Bilaspur,14606.0,1.0,406.0,1566.0,33.0,20.0,600822.0,2663629.0,1351574.0,1312055.0,8272.0,322.0,381.0,79.0,10.0,0.0,1.0,49.258173717135534,4.433308034659183,470.0,1.0,17.64509997450846,0.0375427659032094,50.74182628286447,322.0
2000,Bilaspur,14606.0,1.0,406.0,1566.0,33.0,20.0,600822.0,2663629.0,1351574.0,1312055.0,8272.0,322.0,114.0,30.0,6.0,0.0,0.0,49.258173717135534,4.433308034659183,150.0,0.0,5.631414885481424,0.0,50.74182628286447,322.0
2000,Dantewada,20569.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Dhamtari,17327.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Durg,8463.0,0.0,409.0,1761.0,12.0,25.0,701707.0,3343872.0,1682101.0,1661771.0,8535.0,392.0,444.0,73.0,15.0,0.0,1.0,49.696011091333645,4.765339379541604,532.0,1.0,15.909699892818862,0.0299054509263512,50.30398890866636,392.0
2000,Janjgir-Champa,5303.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Jashpur,43047.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Kabirdham,1432.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Kanker,69931.0,7.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Korba,26210.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
2000,Korea,11035.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
